"19","Americas","12","North America","840","us","United States of America","Missouri","Ozark Plateau"
"19","Americas","12","North America","840","us","United States of America","Missouri","Platte Purchase"
"19","Americas","12","North America","840","us","United States of America","Missouri","St. Francois Mountains"
"19","Americas","12","North America","840","us","United States of America","Montana","Bighorn Country"
"19","Americas","12","North America","840","us","United States of America","Montana","Eastern Montana"
"19","Americas","12","North America","840","us","United States of America","Montana","Glacier National Park"
"19","Americas","12","North America","840","us","United States of America","Montana","Inland Empire"
"19","Americas","12","North America","840","us","United States of America","Montana","Southwestern Montana"
"19","Americas","12","North America","840","us","United States of America","Montana","Western Montana"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Omaha metropolitian area"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Panhandle"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Pine Ridge"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Rainwater Basin"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Sand Hills"
"19","Americas","12","North America","840","us","United States of America","Nebraska","Wildcat Hills"
"19","Americas","12","North America","840","us","United States of America","Nevada","Great Basin"
"19","Americas","12","North America","840","us","United States of America","Nevada","Lake Tahoe"
"19","Americas","12","North America","840","us","United States of America","Nevada","Las Vegas Valley"
"19","Americas","12","North America","840","us","United States of America","Nevada","Mojave Desert"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Dartmouth-Lake Sunapee"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Great North Woods"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Lakes Region"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Merrimack Valley"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Monadnock"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","Seacoast"
"19","Americas","12","North America","840","us","United States of America","New Hampshire","White Mountains"
